thisRow.t,Condition.info,participant,notes,play_pretrial.started,play_pretrial.stopped,pretrial_score,pretrial_level_avg,expName,date,expStart,frameRate,psychopyVersion,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,info_preTrial,sub0007,,82.45784230000572,197.47546839999268,1579,1.6666667461395264,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
,,sub0007,,,,,,Tetris_fMRI,2024-04-29_12h02.56.542,2024-04-29 12h03.52.621756 +0200,None,2024.1.1,
