control_condition,images_next_cond,control_duration
motor_control,Images/button.png,30
fixation_cross,Images/crosshair.png,15
watch_Tetris,Images/eye.png,30
motor_control,Images/button.png,30
motor_control,Images/button.png,30
fixation_cross,Images/crosshair.png,15
motor_control,Images/button.png,30
motor_control,Images/button.png,30
fixation_cross,Images/crosshair.png,15
watch_Tetris,Images/eye.png,30
fixation_cross,Images/crosshair.png,15
motor_control,Images/button.png,30
watch_Tetris,Images/eye.png,30
fixation_cross,Images/crosshair.png,15
fixation_cross,Images/crosshair.png,15
watch_Tetris,Images/eye.png,30
watch_Tetris,Images/eye.png,30
motor_control,Images/button.png,30
watch_Tetris,Images/eye.png,30
fixation_cross,Images/crosshair.png,15
watch_Tetris,Images/eye.png,30
